ENSG	ω_lower	ω	ω_upper	ω0_lower	ω0	ω0_upper	ωA_phy	category	TR_ID_Homo_sapiens	TR_ID_Chlorocebus_sabaeus	TR_ID_Bos_taurus	TR_ID_Equus_caballus	TR_ID_Ovis_aries	TR_ID_Capra_hircus	TR_ID_Canis_familiaris
ENSG00000002834_LASP1	0.0648843	0.0746793	0.0857164	0.0737776	0.0879249	0.104799	-0.013245599999999996	unclassified	ENST00000318008	ENSCSAT00000000679	ENSBTAT00000043205	ENSECAT00000018410	ENSOART00000010955	XM_018064990.1	ENSCAFT00000044875
ENSG00000002919_SNX11	0.178094	0.195897	0.214496	0.228758	0.248787	0.269418	-0.05289000000000002	unclassified	ENST00000393405	ENSCSAT00000000564	ENSBTAT00000027082	ENSECAT00000008386	ENSOART00000007936	XM_005693707.3	ENSCAFT00000026645
ENSG00000002933_TMEM176A	0.529434	0.57956	0.6346	0.438484	0.46633	0.4966	0.11322999999999994	adaptive	ENST00000484928	ENSCSAT00000004891	ENSBTAT00000016021	ENSECAT00000022976	ENSOART00000001890	XM_018046762.1	ENSCAFT00000045768
ENSG00000003056_M6PR	0.129166	0.144106	0.159995	0.15632	0.174609	0.19275	-0.030502999999999975	unclassified	ENST00000000412	ENSCSAT00000007581	ENSBTAT00000024233	ENSECAT00000023553	ENSOART00000001484	XM_005680885.3	ENSCAFT00000039426
ENSG00000003096_KLHL13	0.0390335	0.0447728	0.0506725	0.0502809	0.058139	0.0669066	-0.013366200000000002	unclassified	ENST00000469946	ENSCSAT00000016367	ENSBTAT00000000639	ENSECAT00000008575	ENSOART00000018321	Null	ENSCAFT00000049060
ENSG00000003137_CYP26B1	0.0235197	0.026911	0.0307811	0.032554	0.0384182	0.045146	-0.011507199999999999	unclassified	ENST00000001146	ENSCSAT00000013391	ENSBTAT00000016198	ENSECAT00000024404	ENSOART00000012596	XM_018055050.1	ENSCAFT00000014311
ENSG00000003147_ICA1	0.145579	0.15843	0.17209	0.162376	0.178117	0.194076	-0.01968700000000001	unclassified	ENST00000422063	ENSCSAT00000011259	ENSBTAT00000001057	ENSECAT00000012053	ENSOART00000006574	XM_018047368.1	ENSCAFT00000003545
ENSG00000003249_DBNDD1	0.174515	0.206181	0.244819	0.244102	0.271454	0.299793	-0.06527299999999997	unclassified	ENST00000568838	ENSCSAT00000000714	ENSBTAT00000027077	ENSECAT00000020299	ENSOART00000016545	XM_018061928.1	ENSCAFT00000031500
ENSG00000003393_ALS2	0.12104	0.126735	0.132432	0.155364	0.162876	0.170892	-0.036141000000000006	unclassified	ENST00000264276	Null	ENSBTAT00000060956	ENSECAT00000010666	ENSOART00000018995	XM_018060852.1	ENSCAFT00000019642
ENSG00000003402_CFLAR	0.402174	0.42696	0.451628	0.377265	0.393662	0.410187	0.033297999999999994	unclassified	ENST00000309955	ENSCSAT00000008885	ENSBTAT00000014607	ENSECAT00000022842	ENSOART00000018354	XM_018054190.1	ENSCAFT00000019278
ENSG00000003436_TFPI	0.429711	0.465433	0.502933	0.381742	0.40418	0.427054	0.061253	adaptive	ENST00000392365	ENSCSAT00000010560	Null	ENSECAT00000023342	ENSOART00000018004	XM_005675872.3	ENSCAFT00000047260
ENSG00000003509_NDUFAF7	0.193275	0.207466	0.2224	0.224525	0.240515	0.257351	-0.033048999999999995	unclassified	ENST00000002125	ENSCSAT00000010291	ENSBTAT00000001470	ENSECAT00000014947	ENSOART00000010266	XM_005686495.2	ENSCAFT00000009871
ENSG00000003756_RBM5	0.0333334	0.0370326	0.0410563	0.0479299	0.0542603	0.0611886	-0.0172277	unclassified	ENST00000347869	ENSCSAT00000012492	ENSBTAT00000008305	ENSECAT00000022155	ENSOART00000011881	XM_005695937.3	ENSCAFT00000017309
ENSG00000003987_MTMR7	0.066785	0.0719023	0.0774049	0.103916	0.113511	0.12393	-0.0416087	unclassified	ENST00000180173	ENSCSAT00000014865	ENSBTAT00000055365	ENSECAT00000011468	ENSOART00000010147	XM_018041918.1	ENSCAFT00000011103
ENSG00000003989_SLC7A2	0.116675	0.12372	0.131098	0.131206	0.141357	0.151105	-0.017637000000000014	unclassified	ENST00000004531	ENSCSAT00000014845	ENSBTAT00000013304	ENSECAT00000018159	ENSOART00000010094	XM_018042020.1	ENSCAFT00000011153
ENSG00000004059_ARF5	0.00869947	0.013365	0.0188703	0.0138246	0.0219145	0.0321407	-0.0085495	unclassified	ENST00000000233	ENSCSAT00000008296	ENSBTAT00000012326	ENSECAT00000021524	ENSOART00000001994	XM_005679429.3	ENSCAFT00000050134
ENSG00000004139_SARM1	0.0821494	0.0886609	0.0954485	0.102743	0.111675	0.121531	-0.023014099999999996	unclassified	ENST00000585482	ENSCSAT00000005341	ENSBTAT00000003645	ENSECAT00000004618	ENSOART00000019725	XM_018064294.1	ENSCAFT00000029647
ENSG00000004142_POLDIP2	0.056942	0.0657932	0.0751854	0.0690164	0.0797991	0.0917714	-0.014005900000000002	unclassified	ENST00000540200	ENSCSAT00000005400	ENSBTAT00000010675	ENSECAT00000014913	ENSOART00000019296	XM_005693352.3	ENSCAFT00000029631
ENSG00000004399_PLXND1	0.080627	0.0845037	0.0881687	0.106013	0.11308	0.11969	-0.0285763	unclassified	ENST00000324093	ENSCSAT00000007210	ENSBTAT00000002375	ENSECAT00000010133	ENSOART00000014844	XM_018067223.1	ENSCAFT00000007454
ENSG00000004455_AK2	0.106561	0.12097	0.137131	0.107068	0.123005	0.140552	-0.002035000000000009	nearly-neutral	ENST00000354858	Null	ENSBTAT00000023406	ENSECAT00000025632	ENSOART00000022735	XM_005676683.2	ENSCAFT00000016515
ENSG00000004468_CD38	0.514759	0.552712	0.595749	0.391902	0.415623	0.438704	0.13708899999999996	adaptive	ENST00000226279	ENSCSAT00000014516	ENSBTAT00000018042	ENSECAT00000022117	ENSOART00000001528	XM_005681912.3	ENSCAFT00000043207
ENSG00000004478_FKBP4	0.140889	0.152206	0.163991	0.155794	0.169701	0.183613	-0.017494999999999983	unclassified	ENST00000001008	ENSCSAT00000009393	ENSBTAT00000009998	ENSECAT00000022092	ENSOART00000012347	XM_018048639.1	ENSCAFT00000024736
ENSG00000004487_KDM1A	0.0209348	0.0241149	0.0277972	0.0333303	0.0384029	0.0439504	-0.014287999999999995	unclassified	ENST00000400181	ENSCSAT00000017614	ENSBTAT00000012501	ENSECAT00000021147	ENSOART00000008407	XM_005676879.3	ENSCAFT00000021220
ENSG00000004534_RBM6	0.189631	0.199815	0.209562	0.229134	0.241753	0.25502	-0.041938	unclassified	ENST00000266022	ENSCSAT00000012511	ENSBTAT00000008300	ENSECAT00000016324	ENSOART00000012102	XM_013973591.2	ENSCAFT00000017370
ENSG00000004660_CAMKK1	0.0952934	0.10283	0.111125	0.120849	0.13356	0.146263	-0.030730000000000007	unclassified	ENST00000381769	ENSCSAT00000011591	ENSBTAT00000009431	ENSECAT00000009371	ENSOART00000019393	XM_018064433.1	ENSCAFT00000030794
ENSG00000004700_RECQL	0.147396	0.157903	0.169266	0.181837	0.193395	0.205093	-0.035492000000000024	unclassified	ENST00000444129	ENSCSAT00000006020	ENSBTAT00000028079	ENSECAT00000026738	ENSOART00000022152	XM_005680793.3	ENSCAFT00000019449
ENSG00000004766_VPS50	0.0442246	0.0482828	0.0525962	0.0659539	0.0730112	0.080114	-0.024728399999999998	unclassified	ENST00000305866	ENSCSAT00000010736	ENSBTAT00000018952	ENSECAT00000024807	ENSOART00000000216	XM_005678922.2	ENSCAFT00000003203
ENSG00000004776_HSPB6	0.089565	0.103813	0.119052	0.116541	0.135215	0.156269	-0.031402	unclassified	ENST00000004982	ENSCSAT00000002373	ENSBTAT00000024749	ENSECAT00000014363	ENSOART00000005482	XM_013971220.2	ENSCAFT00000010947
ENSG00000004799_PDK4	0.104	0.113908	0.124317	0.121179	0.133643	0.148028	-0.019735000000000016	unclassified	ENST00000005178	ENSCSAT00000011067	ENSBTAT00000038879	ENSECAT00000008745	ENSOART00000003809	XM_005678949.3	ENSCAFT00000003358
ENSG00000004809_SLC22A16	0.470226	0.498921	0.527222	0.414647	0.43204	0.450681	0.06688100000000002	adaptive	ENST00000368919	ENSCSAT00000013587	ENSBTAT00000028664	ENSECAT00000009024	ENSOART00000010900	XM_013966433.2	ENSCAFT00000006259
ENSG00000004838_ZMYND10	0.171336	0.184296	0.19742	0.193877	0.210091	0.226896	-0.025795000000000012	unclassified	ENST00000231749	ENSCSAT00000012293	ENSBTAT00000027925	ENSECAT00000012409	ENSOART00000010420	XM_005696101.3	ENSCAFT00000016881
ENSG00000004846_ABCB5	0.23212	0.242312	0.253236	0.296071	0.307725	0.320708	-0.06541300000000003	unclassified	ENST00000404938	ENSCSAT00000011674	ENSBTAT00000031698	ENSECAT00000013075	ENSOART00000011070	XM_005679028.2	ENSCAFT00000004202
ENSG00000004848_ARX	0.0554089	0.0638021	0.0727904	0.0724143	0.0851325	0.0988865	-0.0213304	unclassified	ENST00000379044	ENSCSAT00000012406	Null	ENSECAT00000023451	ENSOART00000019372	XM_018044003.1	ENSCAFT00000021479
ENSG00000004864_SLC25A13	0.0789082	0.085773	0.0926418	0.0943875	0.103563	0.113063	-0.01779	unclassified	ENST00000416240	ENSCSAT00000011090	ENSBTAT00000004912	ENSECAT00000015075	ENSOART00000004448	XM_018047391.1	ENSCAFT00000003424
ENSG00000004866_ST7	0.0296559	0.0360791	0.0433327	0.014653	0.0195626	0.0251289	0.016516500000000003	adaptive	ENST00000265437	ENSCSAT00000008988	ENSBTAT00000053015	ENSECAT00000009401	ENSOART00000020788	XM_018047189.1	ENSCAFT00000005483
ENSG00000004897_CDC27	0.0372853	0.0423875	0.0482554	0.0644808	0.073156	0.0836469	-0.030768499999999997	unclassified	ENST00000531206	ENSCSAT00000001837	ENSBTAT00000003533	ENSECAT00000010389	ENSOART00000012670	XM_018065303.1	ENSCAFT00000021765
ENSG00000004939_SLC4A1	0.240136	0.251692	0.264713	0.194698	0.205434	0.216469	0.04625800000000002	adaptive	ENST00000262418	ENSCSAT00000001542	ENSBTAT00000002116	ENSECAT00000002131	ENSOART00000008521	XM_018065222.1	ENSCAFT00000022598
ENSG00000004948_CALCR	0.227652	0.243282	0.25769	0.228265	0.242524	0.257521	0.0007580000000000087	nearly-neutral	ENST00000359558	ENSCSAT00000010752	ENSBTAT00000023201	ENSECAT00000003360	ENSOART00000000767	XM_018047421.1	ENSCAFT00000003225
ENSG00000004961_HCCS	0.142103	0.155337	0.170497	0.172108	0.188904	0.206149	-0.033566999999999986	unclassified	ENST00000321143	ENSCSAT00000013355	ENSBTAT00000016072	ENSECAT00000009781	ENSOART00000011704	XM_005701119.3	ENSCAFT00000018383
ENSG00000004975_DVL2	0.0371862	0.0410899	0.0453351	0.0648605	0.0730338	0.0815609	-0.0319439	unclassified	ENST00000005340	ENSCSAT00000010014	ENSBTAT00000004002	ENSECAT00000004394	ENSOART00000011761	XM_018064548.1	ENSCAFT00000025527
ENSG00000005001_PRSS22	0.201406	0.217522	0.236482	0.239861	0.258319	0.278151	-0.04079700000000003	unclassified	ENST00000161006	ENSCSAT00000008496	ENSBTAT00000021967	ENSECAT00000018491	ENSOART00000000160	XM_018041052.1	ENSCAFT00000012151
ENSG00000005007_UPF1	0.0080218	0.0094987	0.0112198	0.0128174	0.0158654	0.0191186	-0.006366700000000001	unclassified	ENST00000599848	ENSCSAT00000003309	ENSBTAT00000027868	ENSECAT00000011373	ENSOART00000011687	XM_018051458.1	ENSCAFT00000023180
ENSG00000005020_SKAP2	0.212887	0.231337	0.25156	0.198328	0.214265	0.231823	0.017071999999999976	nearly-neutral	ENST00000345317	ENSCSAT00000012295	ENSBTAT00000046037	ENSECAT00000021593	ENSOART00000010830	XM_013963339.2	ENSCAFT00000004676
ENSG00000005022_SLC25A5	0.0590267	0.0705395	0.0835898	0.0910639	0.108562	0.129459	-0.0380225	unclassified	ENST00000317881	ENSCSAT00000016456	ENSBTAT00000064551	ENSECAT00000014297	ENSOART00000017722	Null	ENSCAFT00000029209
ENSG00000005059_MCUB	0.249828	0.268958	0.28938	0.341748	0.363929	0.388341	-0.09497100000000003	unclassified	ENST00000394650	ENSCSAT00000001968	ENSBTAT00000017276	ENSECAT00000017153	ENSOART00000006577	XM_018049227.1	ENSCAFT00000018122
ENSG00000005073_HOXA11	0.0618621	0.0747003	0.0882878	0.0914893	0.108672	0.126543	-0.03397170000000001	unclassified	ENST00000006015	ENSCSAT00000012402	ENSBTAT00000019611	ENSECAT00000013760	Null	XM_018047092.1	ENSCAFT00000004754
ENSG00000005100_DHX33	0.0902384	0.097066	0.104282	0.117374	0.127849	0.138911	-0.03078299999999999	unclassified	ENST00000225296	ENSCSAT00000010826	ENSBTAT00000016932	ENSECAT00000010791	ENSOART00000003511	XM_005693437.3	ENSCAFT00000024626
ENSG00000005102_MEOX1	0.148291	0.161975	0.177506	0.222933	0.245237	0.266765	-0.083262	unclassified	ENST00000318579	ENSCSAT00000001479	ENSBTAT00000054676	ENSECAT00000014165	ENSOART00000006265	XM_005693901.3	ENSCAFT00000048933
ENSG00000005108_THSD7A	0.100832	0.105209	0.109892	0.144304	0.151521	0.159256	-0.04631199999999999	unclassified	ENST00000423059	ENSCSAT00000011373	ENSBTAT00000010106	ENSECAT00000000435	ENSOART00000007511	XM_013963159.2	ENSCAFT00000049708
ENSG00000005156_LIG3	0.181913	0.191363	0.202122	0.193214	0.203366	0.213738	-0.012002999999999986	unclassified	ENST00000378526	ENSCSAT00000004366	ENSBTAT00000024875	ENSECAT00000017866	ENSOART00000008923	XM_018064230.1	ENSCAFT00000048097
ENSG00000005175_RPAP3	0.230446	0.244201	0.259793	0.265738	0.279487	0.293267	-0.035285999999999984	unclassified	ENST00000005386	ENSCSAT00000004747	ENSBTAT00000024878	ENSECAT00000021486	ENSOART00000021185	XM_018047886.1	ENSCAFT00000014669
ENSG00000005187_ACSM3	0.233499	0.248365	0.263961	0.260181	0.277103	0.294179	-0.028737999999999986	unclassified	ENST00000289416	ENSCSAT00000005650	ENSBTAT00000008455	ENSECAT00000007072	ENSOART00000014311	XM_018040677.1	ENSCAFT00000028541
ENSG00000005189_REXO5	0.390895	0.41259	0.434359	0.423655	0.441565	0.461741	-0.028974999999999973	unclassified	ENST00000261377	ENSCSAT00000005565	ENSBTAT00000008458	ENSECAT00000020076	ENSOART00000014580	XM_005697564.3	ENSCAFT00000028467
ENSG00000005194_CIAPIN1	0.192044	0.207961	0.226739	0.224538	0.243752	0.26399	-0.03579099999999999	unclassified	ENST00000394391	ENSCSAT00000002942	ENSBTAT00000002418	ENSECAT00000000090	ENSOART00000000213	XM_005692022.3	ENSCAFT00000013902
ENSG00000005206_SPPL2B	0.138539	0.148056	0.158892	0.142003	0.155797	0.169542	-0.007740999999999998	nearly-neutral	ENST00000613503	ENSCSAT00000009677	ENSBTAT00000035792	ENSECAT00000015714	ENSOART00000015175	XM_018050772.1	ENSCAFT00000046407
ENSG00000005238_FAM214B	0.264358	0.288081	0.314188	0.254142	0.276577	0.302711	0.011503999999999959	nearly-neutral	ENST00000603301	ENSCSAT00000008383	ENSBTAT00000015139	ENSECAT00000019337	ENSOART00000013191	XM_018052115.1	ENSCAFT00000003189
ENSG00000005243_COPZ2	0.156578	0.179005	0.203915	0.167291	0.192589	0.218947	-0.013584000000000013	nearly-neutral	ENST00000621465	ENSCSAT00000000570	ENSBTAT00000056479	ENSECAT00000026387	ENSOART00000008046	XM_018064949.1	ENSCAFT00000026638
ENSG00000005249_PRKAR2B	0.0537382	0.0610642	0.0698495	0.0783535	0.089598	0.101288	-0.028533799999999998	unclassified	ENST00000265717	ENSCSAT00000009486	ENSBTAT00000019916	ENSECAT00000012415	ENSOART00000005398	XM_018047230.1	ENSCAFT00000006358
ENSG00000005339_CREBBP	0.0641746	0.0673596	0.0707054	0.0909614	0.0961468	0.101891	-0.0287872	unclassified	ENST00000262367	ENSCSAT00000007732	ENSBTAT00000005092	ENSECAT00000026827	ENSOART00000002714	XM_018040244.1	ENSCAFT00000030570
ENSG00000005379_TSPOAP1	0.317094	0.327436	0.337613	0.353685	0.363877	0.375054	-0.036441	unclassified	ENST00000343736	ENSCSAT00000003746	ENSBTAT00000015433	ENSECAT00000012973	ENSOART00000010528	XM_018064114.1	ENSCAFT00000027721
ENSG00000005381_MPO	0.20475	0.216656	0.228584	0.150556	0.161044	0.171753	0.055611999999999995	adaptive	ENST00000225275	ENSCSAT00000003712	ENSBTAT00000016989	ENSECAT00000007644	ENSOART00000010111	XM_018063571.1	ENSCAFT00000027699
ENSG00000005421_PON1	0.29043	0.310392	0.332237	0.270214	0.288138	0.305799	0.022253999999999996	unclassified	ENST00000222381	ENSCSAT00000011039	ENSBTAT00000020790	ENSECAT00000000304	ENSOART00000003154	XM_005678946.3	ENSCAFT00000003339
ENSG00000005436_GCFC2	0.379199	0.400628	0.422986	0.423614	0.440367	0.45762	-0.039739000000000024	unclassified	ENST00000321027	ENSCSAT00000013948	ENSBTAT00000010591	ENSECAT00000000505	ENSOART00000001114	XM_018055288.1	ENSCAFT00000012988
ENSG00000005448_WDR54	0.167426	0.181429	0.195783	0.24581	0.265803	0.285459	-0.084374	unclassified	ENST00000348227	ENSCSAT00000013673	ENSBTAT00000000617	ENSECAT00000020000	ENSOART00000013740	XM_005686334.3	ENSCAFT00000013583
ENSG00000005469_CROT	0.255318	0.270662	0.286202	0.239428	0.253015	0.268249	0.017647000000000024	unclassified	ENST00000419147	ENSCSAT00000010467	ENSBTAT00000028699	ENSECAT00000009328	ENSOART00000015276	XM_005679066.3	ENSCAFT00000002881
ENSG00000005471_ABCB4	0.145663	0.152636	0.160174	0.185302	0.194566	0.203707	-0.041929999999999995	unclassified	ENST00000265723	Null	ENSBTAT00000007432	Null	Null	XM_018047295.1	ENSCAFT00000002889
ENSG00000005483_KMT2E	0.149914	0.157081	0.164349	0.172843	0.180492	0.188524	-0.023411000000000015	unclassified	ENST00000311117	ENSCSAT00000009649	ENSBTAT00000012129	ENSECAT00000018531	ENSOART00000002492	XM_018047246.1	ENSCAFT00000006618
ENSG00000005486_RHBDD2	0.167898	0.180506	0.194633	0.218305	0.234604	0.251514	-0.05409800000000001	unclassified	ENST00000006777	ENSCSAT00000016249	ENSBTAT00000063604	ENSECAT00000022496	ENSOART00000014549	XM_018040863.1	ENSCAFT00000021273
ENSG00000005513_SOX8	0.096348	0.105584	0.114348	0.131406	0.145628	0.1601	-0.04004400000000001	unclassified	ENST00000293894	ENSCSAT00000009979	ENSBTAT00000027633	ENSECAT00000017195	ENSOART00000015753	XM_018040569.1	ENSCAFT00000047694
ENSG00000005700_IBTK	0.214427	0.223262	0.233208	0.249974	0.260046	0.270678	-0.03678400000000001	unclassified	ENST00000306270	ENSCSAT00000015495	ENSBTAT00000038116	ENSECAT00000015693	ENSOART00000007892	XM_018052914.1	ENSCAFT00000004596
ENSG00000005810_MYCBP2	0.0341578	0.0357562	0.0374754	0.0516558	0.054539	0.0576564	-0.018782799999999995	unclassified	ENST00000544440	ENSCSAT00000015677	ENSBTAT00000025100	ENSECAT00000013234	ENSOART00000017799	XM_018056490.1	ENSCAFT00000044597
ENSG00000005812_FBXL3	0.0455755	0.0521582	0.059115	0.0616402	0.0722007	0.082755	-0.020042500000000005	unclassified	ENST00000355619	ENSCSAT00000015683	ENSBTAT00000025095	ENSECAT00000011469	ENSOART00000017485	XM_018056495.1	ENSCAFT00000008160
ENSG00000005844_ITGAL	0.368203	0.381454	0.394709	0.31717	0.326738	0.336408	0.05471600000000004	adaptive	ENST00000356798	ENSCSAT00000003918	ENSBTAT00000009348	ENSECAT00000010058	ENSOART00000006992	NM_001314316.1	ENSCAFT00000026293
ENSG00000005882_PDK2	0.0325659	0.0375724	0.0432337	0.0408521	0.0489312	0.057883	-0.011358800000000002	unclassified	ENST00000503176	ENSCSAT00000003244	ENSBTAT00000011523	ENSECAT00000024731	ENSOART00000005785	XM_005693678.3	ENSCAFT00000026866
ENSG00000005884_ITGA3	0.214743	0.226015	0.239552	0.169813	0.179663	0.188633	0.046352000000000004	adaptive	ENST00000007722	ENSCSAT00000003239	ENSBTAT00000025974	ENSECAT00000017177	ENSOART00000005904	XM_018064902.1	ENSCAFT00000026903
ENSG00000005893_LAMP2	0.431341	0.458141	0.485939	0.319814	0.337663	0.354704	0.12047800000000003	adaptive	ENST00000434600	ENSCSAT00000016438	ENSBTAT00000065411	ENSECAT00000019789	ENSOART00000014331	XM_005700340.3	ENSCAFT00000029391
ENSG00000005961_ITGA2B	0.30303	0.315914	0.328874	0.290039	0.300551	0.310996	0.01536299999999996	unclassified	ENST00000262407	ENSCSAT00000001591	ENSBTAT00000010741	ENSECAT00000022080	Null	XM_018065240.1	ENSCAFT00000022461
ENSG00000005981_ASB4	0.0774063	0.0844923	0.0928518	0.0868022	0.0974367	0.107942	-0.012944399999999995	unclassified	ENST00000325885	ENSCSAT00000011059	ENSBTAT00000024202	ENSECAT00000023774	ENSOART00000003677	XM_005678948.3	ENSCAFT00000003352
