Orthogroups,Ornithorhynchus_anatinus,Callithrix_jacchus,Cercocebus_atys,Macaca_fascicularis,Macaca_mulatta,Macaca_nemestrina,Papio_anubis,Gorilla_gorilla,Pan_paniscus,Pan_troglodytes,Homo_sapiens,Canis_lupus_familiaris,Felis_catus,Equus_caballus,Sus_scrofa,Bos_taurus,Capra_hircus,Ovis_aries,Manis_javanica,Oryctolagus_cuniculus,Mus_musculus,Rattus_norvegicus,Cavia_porcellus,Heterocephalus_glaber,Monodelphis_domestica,Microcebus_murinus,Chlorocebus_sabaeus
Orthogroup_16,ENSOANG00000014187,ENSCJAG00000008073,ENSCATG00000038514,ENSMFAG00000038909,ENSMMUG00000001390,ENSMNEG00000039028,ENSPANG00000024243,ENSGGOG00000014764,ENSPPAG00000037778,ENSPTRG00000012316,ENSG00000071051,ENSCAFG00000002099,ENSFCAG00000002097,ENSECAG00000019317,ENSSSCG00000008144,ENSBTAG00000015205,ENSCHIG00000010383,ENSOARG00000020923,108402802,ENSOCUG00000025486,ENSMUSG00000066877,ENSRNOG00000017155,ENSCPOG00000025206,NA,ENSMODG00000002546,ENSMICG00000000231,ENSCSAG00000017068
Orthogroup_17,ENSOANG00000012425,ENSCJAG00000007061,ENSCATG00000043458,ENSMFAG00000033390,ENSMMUG00000003979,ENSMNEG00000030809,ENSPANG00000019775,ENSGGOG00000011930,ENSPPAG00000032819,ENSPTRG00000024270,ENSG00000143951,ENSCAFG00000003119,ENSFCAG00000006657,ENSECAG00000019956,ENSSSCG00000032229,ENSBTAG00000005151,ENSCHIG00000018963,ENSOARG00000020065,108402754,ENSOCUG00000006156,ENSMUSG00000020319,ENSRNOG00000054331,NA,NA,ENSMODG00000003049,ENSMICG00000017077,ENSCSAG00000014684
Orthogroup_18,ENSOANG00000007628,ENSCJAG00000007734,ENSCATG00000040448,ENSMFAG00000030253,ENSMMUG00000001283,ENSMNEG00000040818,ENSPANG00000019585,ENSGGOG00000040915,ENSPPAG00000042535,ENSPTRG00000011710,ENSG00000115129,ENSCAFG00000003963,ENSFCAG00000004305,ENSECAG00000014969,ENSSSCG00000008586,ENSBTAG00000003405,ENSCHIG00000007693,ENSOARG00000017824,108392557,ENSOCUG00000011212,NA,NA,NA,NA,ENSMODG00000002147,ENSMICG00000001537,ENSCSAG00000008398
Orthogroup_19,ENSOANG00000015830,ENSCJAG00000008008,ENSCATG00000030823,ENSMFAG00000039817,ENSMMUG00000004380,ENSMNEG00000044721,ENSPANG00000019056,ENSGGOG00000004918,ENSPPAG00000044082,ENSPTRG00000011732,ENSG00000084754,ENSCAFG00000004267,ENSFCAG00000014933,ENSECAG00000015725,ENSSSCG00000008571,ENSBTAG00000015038,ENSCHIG00000022677,ENSOARG00000018593,108392159,ENSOCUG00000009786,ENSMUSG00000025745,ENSRNOG00000024629,ENSCPOG00000005945,ENSHGLG00100017724,ENSMODG00000015815,ENSMICG00000014248,ENSCSAG00000008736
Orthogroup_20,ENSOANG00000001114,ENSCJAG00000041726,ENSCATG00000035643,ENSMFAG00000003357,ENSMMUG00000002675,ENSMNEG00000045231,ENSPANG00000000842,ENSGGOG00000011604,ENSPPAG00000035666,ENSPTRG00000012132,ENSG00000042493,ENSCAFG00000007788,ENSFCAG00000003379,ENSECAG00000015128,ENSSSCG00000008239,ENSBTAG00000005432,ENSCHIG00000021024,ENSOARG00000020511,108405888,ENSOCUG00000002341,ENSMUSG00000056737,ENSRNOG00000013668,ENSCPOG00000007978,ENSHGLG00100017348,ENSMODG00000015599,ENSMICG00000015066,ENSCSAG00000016141
Orthogroup_21,ENSOANG00000014791,ENSCJAG00000007858,ENSCATG00000029523,ENSMFAG00000045352,ENSMMUG00000022879,ENSMNEG00000032026,ENSPANG00000007706,ENSGGOG00000013158,ENSPPAG00000018834,ENSPTRG00000011621,ENSG00000032389,ENSCAFG00000003251,ENSFCAG00000008983,ENSECAG00000011270,ENSSSCG00000028755,ENSBTAG00000018387,ENSCHIG00000020574,ENSOARG00000005339,108404687,NA,ENSMUSG00000036613,ENSRNOG00000009285,ENSCPOG00000005737,ENSHGLG00100005614,ENSMODG00000014444,ENSMICG00000009793,ENSCSAG00000006928
Orthogroup_22,ENSOANG00000002322,ENSCJAG00000006576,ENSCATG00000032048,NA,NA,ENSMNEG00000043400,NA,ENSGGOG00000007991,ENSPPAG00000004476,ENSPTRG00000011650,ENSG00000115758,ENSCAFG00000003415,ENSFCAG00000027500,ENSECAG00000022690,ENSSSCG00000027121,ENSBTAG00000004256,NA,ENSOARG00000015431,108391560,ENSOCUG00000004925,ENSMUSG00000011179,ENSRNOG00000005424,ENSCPOG00000008476,ENSHGLG00100008036,NA,ENSMICG00000012511,ENSCSAG00000019446
Orthogroup_23,ENSOANG00000010358,ENSCJAG00000019387,ENSCATG00000002310,ENSMFAG00000032198,ENSMMUG00000003523,ENSMNEG00000044699,ENSPANG00000005829,ENSGGOG00000038019,ENSPPAG00000030949,ENSPTRG00000050213,ENSG00000153561,ENSCAFG00000007450,ENSFCAG00000027668,ENSECAG00000020001,ENSSSCG00000035478,ENSBTAG00000021140,ENSCHIG00000026499,ENSOARG00000020715,108404574,ENSOCUG00000009371,ENSMUSG00000002222,ENSRNOG00000028422,ENSCPOG00000038199,ENSHGLG00100012754,ENSMODG00000009489,NA,ENSCSAG00000016355
Orthogroup_24,ENSOANG00000011174,ENSCJAG00000009275,ENSCATG00000039130,ENSMFAG00000042101,ENSMMUG00000002026,ENSMNEG00000028810,ENSPANG00000021497,ENSGGOG00000004094,ENSPPAG00000031399,ENSPTRG00000011942,ENSG00000115392,ENSCAFG00000002940,ENSFCAG00000031618,ENSECAG00000017007,ENSSSCG00000008394,ENSBTAG00000005870,NA,ENSOARG00000001759,108396881,ENSOCUG00000005105,ENSMUSG00000004018,ENSRNOG00000027249,ENSCPOG00000015552,ENSHGLG00100017612,ENSMODG00000002105,ENSMICG00000015042,ENSCSAG00000014388
Orthogroup_25,ENSOANG00000047974,ENSCJAG00000007386,ENSCATG00000043847,ENSMFAG00000034406,ENSMMUG00000001575,ENSMNEG00000043506,ENSPANG00000019305,ENSGGOG00000009782,ENSPPAG00000037901,ENSPTRG00000011686,ENSG00000118965,ENSCAFG00000003791,ENSFCAG00000005351,ENSECAG00000018258,ENSSSCG00000008604,ENSBTAG00000051164,ENSCHIG00000006588,ENSOARG00000017021,108403784,ENSOCUG00000013185,ENSMUSG00000066643,ENSRNOG00000028783,ENSCPOG00000007053,ENSHGLG00100012339,ENSMODG00000010094,NA,ENSCSAG00000008051
Orthogroup_26,ENSOANG00000050900,ENSCJAG00000046213,ENSCATG00000029537,ENSMFAG00000034493,ENSMMUG00000030785,ENSMNEG00000036220,ENSPANG00000017285,ENSGGOG00000004945,ENSPPAG00000031084,ENSPTRG00000012136,ENSG00000118640,ENSCAFG00000007692,ENSFCAG00000011968,ENSECAG00000009514,ENSSSCG00000022820,ENSBTAG00000023997,ENSCHIG00000016859,NA,108405893,ENSOCUG00000002375,ENSMUSG00000050732,ENSRNOG00000012748,ENSCPOG00000001409,ENSHGLG00100012425,ENSMODG00000015607,ENSMICG00000011484,ENSCSAG00000016190
Orthogroup_27,ENSOANG00000012420,NA,ENSCATG00000011551,ENSMFAG00000043104,ENSMMUG00000030824,ENSMNEG00000024928,ENSPANG00000006093,ENSGGOG00000007602,ENSPPAG00000043574,ENSPTRG00000011966,ENSG00000173163,ENSCAFG00000003090,ENSFCAG00000027737,ENSECAG00000016963,ENSSSCG00000008376,ENSBTAG00000019867,ENSCHIG00000017790,ENSOARG00000020137,NA,ENSOCUG00000001093,NA,NA,ENSCPOG00000002088,NA,ENSMODG00000002887,NA,ENSCSAG00000014646
Orthogroup_28,ENSOANG00000007788,ENSCJAG00000006431,ENSCATG00000027324,ENSMFAG00000032356,ENSMMUG00000001535,ENSMNEG00000030598,ENSPANG00000020814,ENSGGOG00000002692,ENSPPAG00000030977,ENSPTRG00000011643,ENSG00000134317,ENSCAFG00000003394,ENSFCAG00000007856,ENSECAG00000015969,ENSSSCG00000026068,ENSBTAG00000007485,ENSCHIG00000026755,ENSOARG00000015298,108405878,ENSOCUG00000017717,ENSMUSG00000020656,ENSRNOG00000054989,ENSCPOG00000010783,ENSHGLG00100009361,ENSMODG00000014753,ENSMICG00000012737,ENSCSAG00000007158
Orthogroup_29,ENSOANG00000007790,ENSCJAG00000046813,ENSCATG00000037396,ENSMFAG00000039490,ENSMMUG00000002054,ENSMNEG00000034723,NA,ENSGGOG00000012494,ENSPPAG00000030099,ENSPTRG00000011645,ENSG00000172059,ENSCAFG00000003405,ENSFCAG00000030965,ENSECAG00000015820,ENSSSCG00000038643,ENSBTAG00000046218,ENSCHIG00000011294,ENSOARG00000015319,108390945,ENSOCUG00000003809,ENSMUSG00000020653,ENSRNOG00000054259,ENSCPOG00000025767,ENSHGLG00100010619,ENSMODG00000014758,ENSMICG00000012761,ENSCSAG00000007163
Orthogroup_30,ENSOANG00000011182,ENSCJAG00000009891,NA,NA,ENSMMUG00000003003,NA,ENSPANG00000021274,ENSGGOG00000012381,ENSPPAG00000039357,NA,ENSG00000115355,ENSCAFG00000002796,ENSFCAG00000023941,ENSECAG00000006877,ENSSSCG00000008406,ENSBTAG00000017469,ENSCHIG00000010536,ENSOARG00000002400,NA,ENSOCUG00000003620,ENSMUSG00000032740,ENSRNOG00000004057,ENSCPOG00000004824,ENSHGLG00100010991,ENSMODG00000001885,ENSMICG00000017444,ENSCSAG00000014162
Orthogroup_31,ENSOANG00000015831,ENSCJAG00000008091,ENSCATG00000040150,ENSMFAG00000039385,ENSMMUG00000004378,ENSMNEG00000034057,ENSPANG00000026153,ENSGGOG00000004917,ENSPPAG00000041743,ENSPTRG00000011731,ENSG00000157833,ENSCAFG00000004251,ENSFCAG00000023983,NA,ENSSSCG00000008572,ENSBTAG00000015037,ENSCHIG00000022994,ENSOARG00000018530,108392155,ENSOCUG00000009777,ENSMUSG00000044576,ENSRNOG00000048004,ENSCPOG00000033262,ENSHGLG00100017404,ENSMODG00000015817,ENSMICG00000014228,ENSCSAG00000008714
Orthogroup_32,ENSOANG00000050869,NA,ENSCATG00000040056,ENSMFAG00000039825,ENSMMUG00000002589,ENSMNEG00000038187,NA,ENSGGOG00000008271,ENSPPAG00000036737,ENSPTRG00000023956,ENSG00000196228,ENSCAFG00000023398,ENSFCAG00000025914,ENSECAG00000020703,ENSSSCG00000028691,ENSBTAG00000002803,ENSCHIG00000023114,ENSOARG00000020972,108385105,ENSOCUG00000004360,ENSMUSG00000023943,ENSRNOG00000011269,NA,ENSHGLG00100010024,ENSMODG00000002703,NA,NA
Orthogroup_33,ENSOANG00000044973,ENSCJAG00000007716,ENSCATG00000030936,ENSMFAG00000038178,ENSMMUG00000001282,ENSMNEG00000029050,ENSPANG00000021963,ENSGGOG00000040806,ENSPPAG00000027816,ENSPTRG00000011709,ENSG00000115128,ENSCAFG00000003957,ENSFCAG00000031365,ENSECAG00000015618,ENSSSCG00000008587,NA,ENSCHIG00000009902,ENSOARG00000017819,108392558,ENSOCUG00000022008,ENSMUSG00000037361,ENSRNOG00000046172,ENSCPOG00000008016,ENSHGLG00100008639,ENSMODG00000002144,ENSMICG00000001534,ENSCSAG00000008390
Orthogroup_34,ENSOANG00000012403,ENSCJAG00000009102,ENSCATG00000044395,ENSMFAG00000042450,ENSMMUG00000000498,ENSMNEG00000035939,ENSPANG00000014543,ENSGGOG00000006083,ENSPPAG00000019917,ENSPTRG00000011948,ENSG00000115421,ENSCAFG00000002975,ENSFCAG00000026126,ENSECAG00000009859,ENSSSCG00000008389,ENSBTAG00000007414,ENSCHIG00000015082,ENSOARG00000001563,108401001,ENSOCUG00000004962,ENSMUSG00000020273,ENSRNOG00000006261,ENSCPOG00000010306,ENSHGLG00100010429,ENSMODG00000002160,ENSMICG00000010042,ENSCSAG00000014408
Orthogroup_35,ENSOANG00000037447,ENSCJAG00000007406,ENSCATG00000038685,ENSMFAG00000043379,ENSMMUG00000001579,ENSMNEG00000040055,ENSPANG00000019588,ENSGGOG00000009798,ENSPPAG00000035472,ENSPTRG00000011689,ENSG00000132031,ENSCAFG00000003825,ENSFCAG00000033314,ENSECAG00000017085,ENSSSCG00000008603,ENSBTAG00000020893,ENSCHIG00000018061,ENSOARG00000017103,NA,ENSOCUG00000021257,ENSMUSG00000020583,ENSRNOG00000056141,ENSCPOG00000004739,NA,NA,ENSMICG00000011604,ENSCSAG00000008064
Orthogroup_36,ENSOANG00000044766,NA,ENSCATG00000001221,ENSMFAG00000036757,ENSMMUG00000001697,ENSMNEG00000043594,ENSPANG00000008237,ENSGGOG00000011015,ENSPPAG00000029469,ENSPTRG00000012317,ENSG00000119147,ENSCAFG00000002098,ENSFCAG00000023685,ENSECAG00000018633,ENSSSCG00000037106,ENSBTAG00000012637,ENSCHIG00000025265,ENSOARG00000020932,NA,ENSOCUG00000026304,ENSMUSG00000026051,ENSRNOG00000023576,ENSCPOG00000008375,ENSHGLG00100012750,ENSMODG00000002588,ENSMICG00000000233,ENSCSAG00000017064
Orthogroup_37,ENSOANG00000029305,ENSCJAG00000071602,ENSCATG00000034431,ENSMFAG00000001172,ENSMMUG00000001693,ENSMNEG00000040004,ENSPANG00000015131,ENSGGOG00000034951,ENSPPAG00000027425,ENSPTRG00000012318,ENSG00000115652,ENSCAFG00000002096,ENSFCAG00000007810,ENSECAG00000015049,ENSSSCG00000008143,ENSBTAG00000005614,ENSCHIG00000023307,ENSOARG00000020937,108407699,ENSOCUG00000009982,ENSMUSG00000057363,ENSRNOG00000045605,ENSCPOG00000008367,ENSHGLG00100013403,ENSMODG00000002607,ENSMICG00000000234,ENSCSAG00000017061
Orthogroup_38,ENSOANG00000007787,ENSCJAG00000006420,ENSCATG00000039789,ENSMFAG00000041401,ENSMMUG00000001530,ENSMNEG00000007382,ENSPANG00000013803,ENSGGOG00000002685,ENSPPAG00000031684,ENSPTRG00000011642,ENSG00000115750,ENSCAFG00000003390,ENSFCAG00000007855,ENSECAG00000023244,ENSSSCG00000008637,ENSBTAG00000007543,ENSCHIG00000013783,ENSOARG00000015201,108405879,ENSOCUG00000005643,ENSMUSG00000059669,ENSRNOG00000061415,ENSCPOG00000010780,ENSHGLG00100008936,ENSMODG00000014747,ENSMICG00000012714,ENSCSAG00000007150
Orthogroup_39,ENSOANG00000041695,ENSCJAG00000065690,ENSCATG00000043877,ENSMFAG00000040343,ENSMMUG00000001570,ENSMNEG00000032654,ENSPANG00000015095,ENSGGOG00000009777,ENSPPAG00000035271,ENSPTRG00000011685,ENSG00000183891,ENSCAFG00000023413,ENSFCAG00000037766,ENSECAG00000013048,NA,ENSBTAG00000015587,ENSCHIG00000025091,ENSOARG00000016954,108392312,ENSOCUG00000003731,ENSMUSG00000066637,ENSRNOG00000049088,ENSCPOG00000033658,ENSHGLG00100015043,ENSMODG00000010097,NA,ENSCSAG00000008028
Orthogroup_40,ENSOANG00000046366,ENSCJAG00000019376,ENSCATG00000003978,ENSMFAG00000028439,ENSMMUG00000003524,ENSMNEG00000028566,ENSPANG00000022372,ENSGGOG00000004023,ENSPPAG00000042853,ENSPTRG00000012159,ENSG00000153563,ENSCAFG00000007464,ENSFCAG00000014826,ENSECAG00000013261,ENSSSCG00000008217,ENSBTAG00000021141,ENSCHIG00000026907,ENSOARG00000020734,108404571,NA,ENSMUSG00000053977,ENSRNOG00000007178,ENSCPOG00000033458,NA,ENSMODG00000009513,ENSMICG00000005400,ENSCSAG00000016359
Orthogroup_41,ENSOANG00000010356,ENSCJAG00000019366,ENSCATG00000034755,ENSMFAG00000000257,ENSMMUG00000003532,ENSMNEG00000030026,ENSPANG00000023240,ENSGGOG00000007451,ENSPPAG00000041565,ENSPTRG00000012160,NA,ENSCAFG00000007461,ENSFCAG00000024669,ENSECAG00000000775,ENSSSCG00000008213,ENSBTAG00000008956,ENSCHIG00000020344,ENSOARG00000020747,108404569,ENSOCUG00000009384,ENSMUSG00000053044,ENSRNOG00000007129,ENSCPOG00000005467,ENSHGLG00100018436,ENSMODG00000009530,ENSMICG00000011409,ENSCSAG00000016365
Orthogroup_42,ENSOANG00000011147,ENSCJAG00000039769,ENSCATG00000044433,ENSMFAG00000001527,ENSMMUG00000001802,ENSMNEG00000036708,ENSPANG00000010446,ENSGGOG00000039277,ENSPPAG00000035997,ENSPTRG00000012323,ENSG00000144057,ENSCAFG00000002080,ENSFCAG00000026742,ENSECAG00000011729,ENSSSCG00000008141,ENSBTAG00000000703,ENSCHIG00000013738,ENSOARG00000020956,108387043,ENSOCUG00000007726,ENSMUSG00000024172,ENSRNOG00000046515,ENSCPOG00000015612,ENSHGLG00100014505,ENSMODG00000002618,ENSMICG00000000236,ENSCSAG00000017059
Orthogroup_43,ENSOANG00000002547,NA,ENSCATG00000030248,ENSMFAG00000000039,ENSMMUG00000003237,ENSMNEG00000039277,ENSPANG00000039736,ENSGGOG00000022395,NA,NA,ENSG00000115738,NA,ENSFCAG00000026937,ENSECAG00000008738,ENSSSCG00000008645,ENSBTAG00000021187,ENSCHIG00000018361,ENSOARG00000014690,108384274,ENSOCUG00000024446,ENSMUSG00000020644,ENSRNOG00000007237,ENSCPOG00000020620,ENSHGLG00100012462,ENSMODG00000014618,ENSMICG00000010061,ENSCSAG00000007060
Orthogroup_44,ENSOANG00000004133,ENSCJAG00000001153,ENSCATG00000034954,ENSMFAG00000000196,ENSMMUG00000009156,ENSMNEG00000024372,ENSPANG00000017633,ENSGGOG00000012512,NA,NA,NA,ENSCAFG00000002015,ENSFCAG00000027363,ENSECAG00000017490,ENSSSCG00000008137,ENSBTAG00000010971,ENSCHIG00000022414,ENSOARG00000000446,108409722,ENSOCUG00000004451,ENSMUSG00000019920,ENSRNOG00000037765,ENSCPOG00000007962,ENSHGLG00100010906,ENSMODG00000002865,ENSMICG00000017200,ENSCSAG00000017024
